States,Total_Victims,Unemployment Count,Unemployment Rates,GRADE number,Gun Check Totals,Hate Group Count,Household Income,Latitude,Longitude,Mass Shooting Count,Median Age,Per Capita Hate Group,Per Capita Income,Per Capita Mass Shooting,Population,Poverty Count,Poverty Rates,Election_Result_B,Election_Result_R
New Hampshire,0.0,48029.0,3.635616307702323,5.0,124677,6.0,65986.0,43.6805,-71.5811,0.0,41.8,0.4541776394722759,33821.0,0.0,1321069.0,113374.0,8.581989282921635,1,0
New Jersey,29.0,453097.0,5.105678439966582,0.5,92320,40.0,72062.0,40.1907,-74.6728,6.0,39.3,0.4507360181123761,36359.0,0.6761040271685642,8874374.0,934665.0,10.532179509225102,1,0
New Mexico,4.0,93106.0,4.476067083797056,5.5,139780,3.0,44968.0,34.4071,-106.1126,1.0,36.8,0.14422487542576387,23948.0,0.4807495847525462,2080085.0,426116.0,20.485509005641596,1,0
New York,60.0,893092.0,4.557910375093203,0.5,365427,44.0,58687.0,42.9538,-75.5268,14.0,38.1,0.22455475640146919,32829.0,0.7144924067319474,19594330.0,2978521.0,15.200933127083191,1,0
North Carolina,14.0,505668.0,5.186123037966115,5.5,1182349,24.0,46693.0,35.5557,-79.3877,3.0,37.8,0.24614362172648213,25608.0,0.30767952715810265,9750405.0,1669147.0,17.118745323912187,0,1
North Dakota,0.0,12213.0,1.7325247366741143,5.5,70548,2.0,55579.0,47.4501,-100.4659,0.0,35.9,0.2837181260417775,30894.0,0.0,704925.0,80865.0,11.471433131184169,0,1
Ohio,33.0,536573.0,4.641482373416791,4.5,596389,27.0,48849.0,40.2862,-82.7937,7.0,39.1,0.2335563363834061,26520.0,0.6055164276606825,11560380.0,1790564.0,15.488798811111746,1,0
Oklahoma,11.0,124804.0,3.2681034164464653,5.5,348495,11.0,46235.0,35.5889,-97.4943,2.0,36.2,0.2880447548228512,24695.0,0.5237177360415476,3818851.0,625508.0,16.379481681793816,0,1
Oregon,9.0,206222.0,5.287278580371009,4.0,243044,9.0,50521.0,43.9336,-120.5583,2.0,38.9,0.23074893669608032,27173.0,0.5127754148801784,3900343.0,638816.0,16.378456971604805,1,0
Pennsylvania,46.0,556468.0,4.361468920611136,3.0,899241,38.0,53115.0,40.8781,-77.7996,9.0,40.4,0.29783530945754866,28912.0,0.7053994171362994,12758729.0,1667858.0,13.072289567401267,1,0
Rhode Island,5.0,53761.0,5.104286533517145,1.0,20400,1.0,56423.0,41.6762,-71.5562,1.0,39.7,0.09494403998283411,30765.0,0.9494403998283412,1053252.0,143996.0,13.671561981368182,1,0
South Carolina,36.0,242145.0,5.122297781405897,5.5,289764,19.0,45033.0,33.9169,-80.8964,7.0,38.3,0.4019230537352084,24222.0,1.4807691453402416,4727273.0,840141.0,17.772212436218513,0,1
South Dakota,5.0,21364.0,2.5594579182181074,5.5,83659,4.0,50338.0,44.4443,-100.2263,1.0,36.8,0.47920949601537305,26311.0,1.1980237400384326,834708.0,114444.0,13.710662890495838,0,1
Tennessee,61.0,296819.0,4.60087128847926,5.5,533394,29.0,44621.0,35.858000000000004,-86.3505,13.0,38.3,0.4495172727012035,24811.0,2.0150774293502227,6451365.0,1121344.0,17.38149988413305,0,1
Texas,90.0,982580.0,3.7658238436230707,5.5,1465992,36.0,52576.0,31.4757,-99.3312,14.0,33.9,0.13797315065483784,26513.0,0.5365622525465915,26092033.0,4500034.0,17.246774139830347,0,1
Utah,11.0,95738.0,3.3496949558642055,5.5,263812,4.0,59846.0,39.3055,-111.6703,2.0,29.9,0.1399525770692601,24312.0,0.6997628853463004,2858111.0,358682.0,12.549617562089086,0,1
Vermont,0.0,21643.0,3.4553721673547715,5.5,31502,4.0,54447.0,44.0687,-72.6658,0.0,42.2,0.6386124229274632,29535.0,0.0,626358.0,72044.0,11.50204834934654,1,0
Virginia,40.0,293310.0,3.583449061475009,4.5,419764,26.0,64792.0,37.5215,-78.8537,8.0,37.6,0.3176491616322329,33958.0,0.9773820357914859,8185131.0,914237.0,11.169485253198758,1,0
Washington,16.0,308955.0,4.4781778785506505,2.0,482115,10.0,60294.0,47.3826,-120.4472,3.0,37.4,0.1449459590733489,31233.0,0.4348378772200467,6899123.0,916364.0,13.282325884029028,1,0
West Virginia,0.0,67035.0,3.615927883181283,5.5,221847,10.0,41576.0,38.6409,-80.6227,0.0,41.6,0.5394089480392754,23237.0,0.0,1853881.0,326225.0,17.596868407411264,0,1
Wisconsin,9.0,221662.0,3.8720336395390356,3.5,334308,10.0,52738.0,44.6243,-89.9941,2.0,38.8,0.17468188681591953,27907.0,0.34936377363183907,5724692.0,738557.0,12.901253028110508,1,0
Wyoming,0.0,15950.0,2.772702698474231,5.5,63063,1.0,58252.0,42.9957,-107.5512,0.0,36.8,0.17383715977894867,29381.0,0.0,575251.0,65271.0,11.346525255931759,0,1
