States,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Hate Group Count,Per Capita Hate Group,GRADE number
Iowa,2.0,0.0,19,3093526.0,38.1,53183.0,27950.0,373883.0,12.085982144646595,81735.0,2.6421306948769785,42.0751,-93.49600000000001,0.6465114565062651,5.0,0.16162786412656627,3.5
Kansas,1.0,0.0,20,2892987.0,36.0,52205.0,27706.0,381353.0,13.181981115020566,88454.0,3.0575318865933374,38.4937,-98.3804,0.34566349589541884,5.0,0.17283174794770942,5.5
Kentucky,4.0,16.0,21,4397353.0,38.5,43740.0,24063.0,805841.0,18.325592691785264,174308.0,3.963930118869238,37.5347,-85.3021,0.9096381391259697,13.0,0.29563239521594015,5.5
Louisiana,14.0,60.0,22,4625253.0,36.1,45047.0,24981.0,888280.0,19.20500348845782,178150.0,3.8516811945206024,31.0689,-91.9968,3.0268614495250312,21.0,0.4540292174287547,5.5
Maine,0.0,5.0,23,1329100.0,43.8,49331.0,27655.0,180278.0,13.563915431494996,47497.0,3.5736212474606877,45.3695,-69.2428,0.0,2.0,0.15047776690993905,5.5
Maryland,13.0,4.0,24,5930538.0,38.2,74551.0,36897.0,576805.0,9.726014739303585,238027.0,4.013581904373599,39.055,-76.7909,2.192043959586803,15.0,0.25292814918309264,0.5
Massachusetts,5.0,20.0,25,6705586.0,39.3,68563.0,36895.0,748905.0,11.168375142754115,280164.0,4.178068851849786,42.2596,-71.8083,0.7456469874519542,10.0,0.14912939749039084,0.5
Michigan,11.0,51.0,26,9900571.0,39.5,49576.0,26607.0,1616870.0,16.331078278212438,477746.0,4.825438856001336,44.3467,-85.4102,1.1110470295097121,19.0,0.19190812327895027,3.0
Minnesota,5.0,9.0,27,5419171.0,37.7,61492.0,32157.0,596662.0,11.010208018901784,167764.0,3.0957502540517727,46.2807,-94.3053,0.9226503463352604,6.0,0.11071804156023125,3.0
Mississippi,2.0,19.0,28,2988081.0,36.5,39665.0,21057.0,651545.0,21.80479712564686,138445.0,4.63324120062341,32.7364,-89.6678,0.6693258984612532,19.0,0.6358596035381906,5.5
Missouri,13.0,37.0,29,6045448.0,38.2,48173.0,26259.0,915972.0,15.151432945912363,226528.0,3.7470837562410595,38.3566,-92.458,2.1503782680787262,22.0,0.36391016844409213,5.5
