,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
80,2014-09-02,San Bernardino,California,92410,34.1,-117.27,0,5,06,071
81,2014-09-02,Hinds,Mississippi,39213,32.32,-90.2,2,3,28,049
82,2014-08-31,Alameda,California,94550,37.68,-121.75,0,5,06,001
83,2014-08-29,Hernando,Florida,34601,28.55,-82.39,3,1,12,053
84,2014-08-27,Wayne,Michigan,48205,42.38,-83.1,1,3,26,163
85,2014-08-24,Cook,Illinois,60620,41.83,-87.68,1,3,17,031
86,2014-08-24,Richmond,Georgia,30901,33.45,-81.99,1,3,13,245
87,2014-08-24,Los Angeles,California,91340,34.28,-118.44,3,4,06,037
88,2014-08-20,Shelby,Tennessee,38127,35.1,-90.0,0,5,47,157
89,2014-08-18,St. Martin Parish,Louisiana,70582,30.12,-91.83,0,4,22,099
90,2014-08-17,Queens,New York,11434,40.68,-73.78,0,4,36,081
91,2014-08-17,Suffolk,Massachusetts,02111,42.35,-71.06,0,4,25,025
92,2014-08-17,San Mateo,California,94303,37.45,-122.1,1,3,06,081
93,2014-08-17,Clark,Nevada,89106,36.18,-115.17,0,4,32,003
94,2014-08-16,Union,New Jersey,07063,40.63,-74.4,1,3,34,039
95,2014-08-16,Salt Lake,Utah,84101,40.75,-111.9,0,6,49,035
96,2014-08-14,Shelby,Tennessee,38112,35.1,-90.0,1,3,47,157
97,2014-08-13,Montgomery,Tennessee,37040,36.56,-87.34,0,4,47,125
98,2014-08-13,None,Louisiana,NaN,29.95106579999999,-90.0715323,0,4,,
99,2014-08-12,Cobb,Georgia,30339,33.86,-84.47,2,3,13,067
100,2014-08-12,Erie,New York,14215,42.88,-78.85,1,3,36,029
101,2014-08-10,Orleans Parish,Louisiana,70117,30.06,-89.93,2,5,22,071
102,2014-08-10,Johnson,Georgia,31096,32.72,-82.72,0,6,13,167
103,2014-08-10,Riverside,California,92551,33.87,-117.22,0,7,06,065
104,2014-08-10,District Of Columbia,District of Columbia,20024,38.89,-77.03,0,6,,
105,2014-08-09,Hennepin,Minnesota,55401,44.96,-93.26,1,8,27,053
106,2014-08-08,Milwaukee,Wisconsin,53210,43.06,-87.96,0,4,55,079
107,2014-08-08,District Of Columbia,District of Columbia,20002,38.89,-77.03,0,4,,
108,2014-08-08,Bernalillo,New Mexico,87107,35.11,-106.62,1,3,35,001
109,2014-08-06,Kern,California,93305,35.39,-118.98,3,1,06,029
110,2014-08-04,Fulton,Georgia,30314,33.75,-84.42,0,5,13,121
111,2014-08-03,Harris,Texas,77338,29.99,-95.26,0,7,48,201
112,2014-08-03,St. Louis City,Missouri,63115,38.63,-90.24,0,5,29,189
113,2014-08-03,Culpeper,Virginia,22724,38.63,-77.91,5,0,51,047
114,2014-08-03,Maury,Tennessee,38401,35.62,-87.04,0,5,47,119
115,2014-08-02,Dallas,Texas,75241,32.79,-96.76,3,1,48,113
116,2014-08-02,Orleans Parish,Massachusetts,70112,30.06,-89.93,0,7,,
117,2014-08-02,Allegheny,Pennsylvania,15201,40.43,-79.97,1,5,42,003
118,2014-08-01,Philadelphia,Pennsylvania,19146,39.95,-75.16,1,3,42,101
119,2014-07-30,Cumberland,North Carolina,28348,34.97,-78.95,2,3,37,051
120,2014-07-28,Philadelphia,Pennsylvania,19120,39.95,-75.16,1,4,42,101
121,2014-07-27,St. Louis City,Missouri,63107,38.63,-90.24,0,5,29,189
122,2014-07-26,None,Arkansas,NaN,34.2284312,-92.00319549999999,1,3,,
123,2014-07-26,York,Maine,04072,43.53,-70.45,5,0,23,031
124,2014-07-26,Worth,Georgia,31791,31.52,-83.83,0,8,13,321
125,2014-07-25,Cook,Illinois,60612,41.83,-87.68,1,6,17,031
126,2014-07-23,Allegheny,Pennsylvania,15104,40.4,-79.86,0,4,42,003
127,2014-07-21,Essex,New Jersey,07111,40.72,-74.23,0,6,34,013
128,2014-07-21,Shelby,Tennessee,38126,35.1,-90.0,0,4,47,157
129,2014-07-20,St. Clair,Illinois,62204,38.61,-90.13,1,3,17,163
130,2014-07-20,Clark,Nevada,89130,36.24,-115.23,1,3,32,003
131,2014-07-19,Cook,Illinois,60651,41.83,-87.68,0,4,17,031
132,2014-07-14,Sacramento,California,95817,38.55,-121.45,1,4,06,067
133,2014-07-13,King,Washington,98178,47.49,-122.25,0,5,53,033
134,2014-07-13,Fairfield,Connecticut,06901,41.09,-73.55,0,5,09,001
135,2014-07-13,District Of Columbia,District of Columbia,20002,38.89,-77.03,0,4,,
136,2014-07-12,Los Angeles,California,91103,34.17,-118.17,3,2,06,037
137,2014-07-11,Cook,Illinois,60644,41.83,-87.68,1,3,17,031
138,2014-07-09,Harris,Texas,77388,30.06,-95.38,6,1,48,201
139,2014-07-08,Providence,Rhode Island,02908,41.82,-71.41,0,5,44,007
140,2014-07-07,Pike,Kentucky,41568,37.52,-82.03,0,4,21,195
141,2014-07-07,San Bernardino,California,92410,34.1,-117.27,1,4,06,071
142,2014-07-06,Miami-Dade,Florida,33147,25.77,-80.2,2,2,12,086
143,2014-07-06,St. Louis City,Missouri,63115,38.63,-90.24,0,4,29,189
144,2014-07-06,Erie,New York,14215,42.88,-78.85,0,4,36,029
145,2014-07-05,Harris,Texas,77047,29.76,-95.38,0,6,48,201
146,2014-07-05,Norfolk City,Virginia,23508,36.84,-76.28,0,7,51,710
147,2014-07-05,Multnomah,Oregon,97233,45.51,-122.49,1,4,41,051
148,2014-07-05,Marion,Indiana,46220,39.77,-86.14,0,7,18,097
149,2014-07-05,St. Clair,Illinois,62207,38.61,-90.13,0,5,17,163
150,2014-07-04,Norfolk City,Virginia,23523,36.84,-76.28,0,5,51,710
151,2014-07-02,Delaware,Pennsylvania,19013,39.84,-75.37,0,5,42,045
152,2014-06-30,Fayette,Kentucky,40511,38.04,-84.45,1,3,21,067
153,2014-06-29,Orleans Parish,Louisiana,70116,30.06,-89.93,1,9,22,071
154,2014-06-29,St. Louis City,Missouri,63106,38.63,-90.24,0,4,29,189
155,2014-06-29,Los Angeles,California,90029,34.09,-118.29,1,5,06,037
156,2014-06-28,Contra Costa,California,94531,37.96,-121.76,0,7,06,013
157,2014-06-28,New York,New York,10037,40.71,-73.99,0,4,36,061
158,2014-06-27,San Diego,California,92154,32.56,-117.01,1,3,06,073
159,2014-06-26,Milwaukee,Wisconsin,53206,43.06,-87.96,0,5,55,079
160,2014-06-26,Wayne,Michigan,48238,42.38,-83.1,2,2,26,163
161,2014-06-25,Middlesex,Massachusetts,01851,42.63,-71.32,0,5,25,017
162,2014-06-24,Miami-Dade,Florida,33147,25.77,-80.2,2,7,12,086
163,2014-06-22,Sonoma,California,95492,38.53,-122.81,1,3,06,097
164,2014-06-21,District Of Columbia,District of Columbia,20009,38.89,-77.03,0,4,,
165,2014-06-21,Shelby,Tennessee,38114,35.1,-90.0,0,5,47,157
166,2014-06-20,Prince George'S,Maryland,20743,38.87,-76.9,0,4,,
167,2014-06-15,Howard,Indiana,46902,40.47,-86.13,0,4,18,067
