,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
37,2014-11-16,Texas,El Paso,115 S. Durango,0,6,TX,79901,31.84,-106.43,10786.0,5151.43,Urban
38,2014-11-15,Missouri,Springfield,2555 N. Glenstone,4,0,MO,65803,37.19,-93.28,42041.0,440.01,Rural
39,2014-11-15,Florida,Miami,NW 55th and 12th,1,3,FL,33142,25.77,-80.2,54939.0,7435.48,Urban
40,2014-11-08,California,Pomona,499 E. Arrow Highway,0,5,CA,91767,34.08,-117.73,49027.0,8551.5,Urban
41,2014-11-07,California,Compton,136th Street ,0,4,CA,90222,33.91,-118.23,32362.0,12463.43,Urban
42,2014-11-07,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,CA,90222,33.91,-118.23,32362.0,12463.43,Urban
43,2014-11-05,California,San Francisco,1100 block of Alabama Street ,0,4,CA,94110,37.74,-122.41,71422.0,29820.65,Urban
44,2014-10-29,Tennessee,Memphis,Yale Road and Ramill Road,0,5,TN,38128,35.1,-90.0,43440.0,1898.32,Suburban
45,2014-10-26,Kentucky,Cadiz,1410 Old Dover Road,4,0,KY,42211,36.86,-87.82,13098.0,47.82,Rural
46,2014-10-24,Washington,Marysville,5611 108th St NE,5,1,WA,98271,48.09,-122.24,27806.0,583.49,Rural
47,2014-10-18,New York,Queens,33-02 Queens Blvd,0,4,NY,11101,40.74,-73.93,25317.0,9752.77,Urban
48,2014-10-18,South Carolina,Graniteville,192 Breezy Hill Road,1,3,SC,29829,33.56,-81.81,10237.0,263.44,Rural
49,2014-10-18,New York,Brooklyn,NaN,0,4,NY,NaN,40.6781784,-73.9441579,NaN,,
50,2014-10-16,Michigan,Detroit,Mogul Street,1,3,MI,48224,42.38,-83.1,44420.0,7748.74,Urban
51,2014-10-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,GA,30092,33.94,-84.2,33080.0,2890.33,Suburban
52,2014-10-13,Georgia,Atlanta,85 Mount Zion Road,0,4,GA,30354,33.76,-84.42,16580.0,1382.05,Suburban
53,2014-10-12,California,Stockton,1100 block of East March Lane,3,1,CA,95210,38.02,-121.3,40820.0,5891.71,Urban
54,2014-10-12,Georgia,Atlanta,Arthur Langford Jr Place,1,3,GA,30315,33.7,-84.38,34159.0,2992.49,Suburban
55,2014-10-11,New York,Utica,222 Bleecker Street,0,5,NY,13501,43.1,-75.23,38464.0,4405.76,Urban
56,2014-10-08,Georgia,Atlanta,NaN,0,4,GA,NaN,33.7489954,-84.3879824,NaN,,
57,2014-10-08,New York,Guilderland,1846 Western Ave,4,0,NY,12203,42.66,-73.79,30926.0,2625.53,Suburban
58,2014-10-05,Florida,Jacksonville,7300 block of Linda Drive,3,1,FL,32208,30.33,-81.65,30170.0,2656.94,Suburban
59,2014-10-05,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,MI,48234,42.38,-83.1,34862.0,4613.81,Urban
