,State,County_x,# Killed,# Injured,County FIPS,State FIPS,Total Victims,County_y,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017
217,New Mexico,Chaves,8,1,005,35,9,Chaves,"64,174","14,988",23.4,"64,042","13,499",21.1,"63,529","13,974",22.0,"63,032","11,885",18.9
218,New Mexico,Curry,2,4,009,35,6,Curry,"49,435","9,472",19.2,"48,845","10,597",21.7,"48,678","9,216",18.9,"48,157","9,114",18.9
219,New Mexico,Rio Arriba,5,0,039,35,5,Rio Arriba,"39,490","9,503",24.1,"39,165","9,486",24.2,"39,719","8,953",22.5,"38,793","11,221",28.9
220,New York,Albany,5,3,001,36,8,Albany,"292,263","39,589",13.5,"293,419","36,827",12.6,"293,097","35,585",12.1,"293,785","33,186",11.3
221,New York,Bronx,2,35,005,36,37,Bronx,"1,400,255","440,989",31.5,"1,418,250","430,291",30.3,"1,418,238","405,516",28.6,"1,434,186","400,473",27.9
222,New York,Chemung,0,5,015,36,5,Chemung,"82,794","15,101",18.2,"82,379","12,278",14.9,"81,577","12,390",15.2,"80,950","12,391",15.3
223,New York,Erie,4,22,029,36,26,Erie,"896,953","136,135",15.2,"896,928","139,581",15.6,"895,223","126,912",14.2,"899,937","130,831",14.5
224,New York,Kings,3,69,047,36,72,Kings,"2,595,041","607,086",23.4,"2,610,863","581,684",22.3,"2,602,147","535,092",20.6,"2,622,531","518,422",19.8
225,New York,Monroe,11,31,055,36,42,Monroe,"726,325","103,280",14.2,"726,086","107,747",14.8,"723,936","106,742",14.7,"724,216","105,493",14.6
226,New York,New York,1,29,061,36,30,New York,"1,585,668","280,877",17.7,"1,593,702","280,715",17.6,"1,592,914","274,651",17.2,"1,614,170","262,605",16.3
227,New York,Oneida,0,5,065,36,5,Oneida,"220,442","38,971",17.7,"220,001","39,680",18.0,"218,780","35,553",16.3,"218,961","35,154",16.1
228,New York,Onondaga,0,14,067,36,14,Onondaga,"451,959","72,873",16.1,"452,088","66,114",14.6,"449,895","65,822",14.6,"449,107","61,647",13.7
229,New York,Orange,3,13,071,36,16,Orange,"365,637","49,122",13.4,"367,321","44,395",12.1,"368,757","46,624",12.6,"371,801","40,379",10.9
230,New York,Queens,5,20,081,36,25,Queens,"2,295,508","352,481",15.4,"2,313,637","320,712",13.9,"2,306,541","307,866",13.3,"2,332,646","285,222",12.2
231,New York,Rensselaer,0,5,083,36,5,Rensselaer,"153,997","19,990",13.0,"154,485","18,537",12.0,"154,322","17,978",11.6,"153,994","17,698",11.5
232,New York,Suffolk,3,5,103,36,8,Suffolk,"1,474,410","113,319",7.7,"1,473,493","114,849",7.8,"1,464,556","111,341",7.6,"1,465,198","102,014",7.0
233,New York,Westchester,1,5,119,36,6,Westchester,"947,290","98,067",10.4,"951,666","96,580",10.1,"949,697","95,327",10.0,"955,780","81,192",8.5
234,North Carolina,Anson,0,4,007,37,4,Anson,"23,408","5,860",25.0,"22,987","5,798",25.2,"22,764","5,716",25.1,"22,728","5,039",22.2
235,North Carolina,Catawba,3,1,035,37,4,Catawba,"152,224","24,642",16.2,"152,624","23,050",15.1,"153,929","19,537",12.7,"155,573","19,427",12.5
236,North Carolina,Cumberland,5,13,051,37,18,Cumberland,"317,506","55,792",17.6,"315,624","59,320",18.8,"317,488","59,570",18.8,"315,788","58,888",18.6
