,Year,State,County,Incidents,Injured,Killed,Victims,Land Area,Density 2014,Density 2015,Density 2016,Density 2017,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017,Pop Change 1,Pop Change 1 (%),Pop Change 2,Pop Change 2 (%),Pop Change 3,Pop Change 3 (%),Pop Change Avg,Pop Change Avg (%),Den Change 1,Den Change 1 (%),Den Change 2,Den Change 2 (%),Den Change 3,Den Change 3 (%),Den Change Avg,Den Change Avg (%),Poverty Rate Change 1,Poverty Rate Change 1 (%),Poverty Rate Change 2,Poverty Rate Change 2 (%),Poverty Rate Change 3,Poverty Rate Change 3 (%),Poverty Rate Change Avg,Poverty Rate Change Avg (%),Region
10,2016,Alabama,L,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,Southeast
11,2016,Alabama,Greene,1,5,0,5,312.93,15.735148435752404,14.194867861822132,14.258779918831687,13.584507717380884,8499.0,"2,819",33.2,8426.0,"3,175",37.7,8370.0,"2,845",34.0,8277.0,"2,752",33.2,-73.0,-0.8589245793622808,-56.0,-0.6646095418941371,-93.0,-99.8,-160.0,-34.790200787923084,-1.5402805739302714,-9.788789601949631,0.0639120570095546,0.4502476361999186,-0.6742722014508029,-4.72882115643209,-1.7011259174043178,-10.91481568456041,4.5,13.554216867469876,-3.700000000000003,-9.81432360742707,-0.7999999999999972,-2.35294117647058,0.5333333333333314,2.955579534552612,Southeast
12,2016,Alabama,Elmore,1,2,2,4,130.8,149.93119266055044,150.9097859327217,155.17584097859327,150.0993883792049,75463.0,"10,867",14.4,75978.0,"10,609",14.0,76343.0,"10,316",13.5,76290.0,"9,151",12.0,515.0,0.6824536527834795,365.0,0.48040222169576907,-53.0,-99.8,862.3333333333334,-32.10381079218742,0.9785932721712527,0.6526949161185058,4.266055045871582,2.826890926592057,-5.076452599388375,-3.2714194215893997,3.5524974515800425,2.389112702180763,-0.40000000000000036,-2.7777777777777857,-0.5,-3.5714285714285694,-1.5,-11.111111111111114,-1.4000000000000004,-10.05291005291006,Southeast
13,2016,Alabama,Dale,1,4,0,4,180.84,109.35080734350807,109.16832559168327,106.6135810661358,106.4034505640345,48443.0,"10,865",22.4,48529.0,"8,980",18.5,48198.0,"9,936",20.6,48173.0,"8,528",17.7,86.0,0.17752822905269738,-331.0,-0.6820663932906115,-25.0,-99.8,-253.33333333333334,-33.77120483090458,-0.18248175182479542,-0.16687737041716844,-2.554744525547477,-2.340188430756797,-0.21013050210129336,-0.19709543568463062,-2.8072697780727034,-2.572764279735509,-3.8999999999999986,-17.410714285714278,2.1000000000000014,11.351351351351369,-2.900000000000002,-14.077669902912632,-2.7666666666666644,-10.75191956866712,Southeast
14,2016,Alabama,Coffee,1,4,0,4,120.19,296.4888925867377,302.6874115983027,305.1335385639404,301.356186038772,50187.0,"8,407",16.8,50491.0,"8,196",16.2,50513.0,"7,271",14.4,51206.0,"7,954",15.5,304.0,0.6057345527726454,22.0,0.04357212176427083,693.0,1.371924059153102,557.0,1.106614694254617,6.198519011564997,2.0906412235161866,2.4461269656377453,0.8081363386475999,-3.7773525251683964,-1.2379342313355295,7.385528468813277,2.486132818385277,-0.6000000000000014,-3.5714285714285836,-1.799999999999999,-11.1111111111111,1.0999999999999996,7.638888888888886,-2.0333333333333337,-12.136243386243388,Southeast
15,2016,Alabama,Calhoun,1,4,0,4,37.29,490.0777688388308,497.2914990614106,483.668543845535,505.47063555913115,113010.0,"23,114",20.5,112727.0,"22,579",20.0,111768.0,"19,057",17.1,111883.0,"19,832",17.7,-283.0,-0.2504203167861192,-959.0,-0.8507278646641936,115.0,0.102891704244513,-1203.6666666666667,-1.0668509467021419,7.213730222579784,1.4719562243502082,-13.622955215875606,-2.7394305435720554,0.0,0.0,-6.4092249932958225,-1.2674743192218472,-0.5,-2.439024390243901,-2.8999999999999986,-14.499999999999986,0.5999999999999979,3.5087719298245474,-3.1999999999999993,-15.769433746969037,Southeast
16,2016,Alabama,Blount,1,4,1,5,129.41,61.34765474074646,62.17448419751179,64.1836025036705,64.90224866702728,57155.0,"10,000",17.5,57116.0,"8,399",14.7,57155.0,"8,033",14.1,57452.0,"7,343",12.8,-39.0,-0.0682354999562591,39.0,0.06828209258351592,297.0,0.5196395765899808,99.0,0.1732597848239171,0.8268294567653314,1.3477767980854196,2.0091183061587117,3.231419338801871,0.0,0.0,2.835947762924043,4.57919613688729,-2.8000000000000007,-16.0,-0.5999999999999996,-4.08163265306122,-1.299999999999999,-9.219858156028366,-3.8333333333333335,-23.154918705070674,Southeast
17,2015,Alabama,None,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,Southeast
18,2015,Alabama,Montgomery,1,5,0,5,12.54,660.8452950558216,669.2982456140353,642.4242424242425,641.1483253588518,216905.0,"48,844",22.5,217034.0,"49,457",22.8,217282.0,"40,760",18.8,217404.0,"46,315",21.3,129.0,0.05947304119315788,248.0,0.11426781057346602,122.0,0.056148231330709564,417.6666666666667,0.19245692887686042,8.452950558213729,1.2791118619524582,-26.874003189792802,-4.01525080424166,-1.2759170653906722,-0.19860973187685715,-18.84635832004263,-2.802342186248154,0.3000000000000007,1.3333333333333428,-4.0,-17.54385964912281,2.5,13.297872340425528,-2.866666666666666,-11.77790220231429,Southeast
19,2016,Alabama,Jefferson,4,16,4,20,28.67,1636.2399720962676,1676.3864666899194,1725.6714335542379,1688.803627485176,645857.0,"125,778",19.5,645500.0,"115,897",18.0,644431.0,"98,463",15.3,643726.0,"107,752",16.7,-357.0,-0.05527539377911239,-1069.0,-0.16560805577071847,-705.0,-99.8,-1661.0,-33.4875501162165,40.14649459365182,2.4535823154483865,49.28496686431845,2.9399525612750352,-36.86780606906177,-2.136432541687725,77.14219276828301,4.681390696160847,-1.5,-7.692307692307693,-2.6999999999999993,-14.999999999999986,1.3999999999999986,9.150326797385617,-3.733333333333333,-19.642198759845808,Southeast
