,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS,Density,Type,Population 2014,Population 2015,Population 2016,Population 2017,Land Area,Density 2014,Density 2015,Density 2016,Density 2017
25,2014-11-28,Shelby,Tennessee,38116,35.1,-90.0,0,4,47,157,2125.41,Suburban,41491.0,40642.0,40033.0,40446.0,19.01,2182.5881115202524,2137.9274066280905,2105.8916359810623,2127.6170436612306
26,2014-11-27,Williamson,Texas,78626,30.64,-97.68,2,3,48,491,279.31,Rural,28092.0,28876.0,30163.0,32529.0,93.05,301.90220311660397,310.32778076303066,324.1590542718968,349.586243954863
27,2014-11-26,San Francisco,California,94103,37.77,-122.41,0,6,06,075,20036.87,Urban,24108.0,24309.0,25747.0,26990.0,1.36,17726.470588235294,17874.264705882353,18931.61764705882,19845.588235294115
28,2014-11-23,None,Virginia,NaN,37.7820725,-75.6535401,0,4,,,,,NaN,NaN,NaN,NaN,,,,,
29,2014-11-23,Denver,Colorado,80204,39.76,-104.87,1,4,08,031,5664.21,Urban,31133.0,31685.0,32306.0,33302.0,5.56,5599.4604316546765,5698.741007194245,5810.431654676259,5989.568345323742
30,2014-11-22,Cuyahoga,Ohio,44106,41.47,-81.67,4,1,39,035,6379.51,Urban,26837.0,25805.0,25557.0,25836.0,4.22,6359.478672985782,6114.928909952607,6056.1611374407585,6122.274881516588
31,2014-11-22,Roberts,South Dakota,57262,45.66,-97.04,4,1,46,109,14.33,Rural,5452.0,5463.0,5383.0,5297.0,346.39,15.739484396200815,15.771240509252577,15.540286959785213,15.292011894107798
32,2014-11-22,Clark,Ohio,45505,39.92,-83.79,1,3,39,023,1498.96,Suburban,19396.0,19934.0,20026.0,20000.0,13.47,1439.9406087602079,1479.8812175204157,1486.7112100965107,1484.7809948032664
33,2014-11-21,Allegheny,Pennsylvania,15122,40.35,-79.9,0,6,42,003,1596.68,Suburban,20120.0,20004.0,19909.0,19850.0,12.61,1595.5590800951627,1586.3600317208566,1578.8263283108645,1574.1475019825536
34,2014-11-19,Cook,Illinois,60624,41.83,-87.68,1,3,17,031,10779.35,Urban,39706.0,38140.0,38134.0,37665.0,3.53,11248.15864022663,10804.532577903683,10802.832861189801,10669.971671388103
35,2014-11-18,Clark,Nevada,89128,36.19,-115.26,0,4,32,003,5943.84,Urban,38213.0,37819.0,37110.0,36412.0,6.0,6368.833333333333,6303.166666666667,6185.0,6068.666666666667
36,2014-11-16,Summit,Ohio,44305,41.08,-81.52,1,4,39,153,3405.22,Urban,21726.0,22871.0,23041.0,22586.0,6.55,3316.946564885496,3491.7557251908397,3517.709923664122,3448.2442748091603
37,2014-11-16,El Paso,Texas,79901,31.84,-106.43,0,6,48,141,5151.43,Urban,10786.0,10347.0,10351.0,10284.0,2.2,4902.727272727272,4703.181818181818,4705.0,4674.545454545454
38,2014-11-15,Greene,Missouri,65803,37.19,-93.28,4,0,29,077,440.01,Rural,42041.0,42264.0,41576.0,41038.0,92.95,452.29693383539535,454.6960731576116,447.29424421732114,441.50618612157075
39,2014-11-15,Miami-Dade,Florida,33142,25.77,-80.2,1,3,12,086,7435.48,Urban,54939.0,55865.0,54571.0,56468.0,7.07,7770.7213578500705,7901.6973125884015,7718.670438472418,7986.987270155587
40,2014-11-08,Los Angeles,California,91767,34.08,-117.73,0,5,06,037,8551.5,Urban,49027.0,49099.0,49483.0,49492.0,5.62,8723.665480427046,8736.476868327401,8804.804270462633,8806.405693950177
41,2014-11-07,Los Angeles,California,90222,33.91,-118.23,0,4,06,037,12463.43,Urban,32362.0,31875.0,32195.0,32585.0,2.56,12641.40625,12451.171875,12576.171875,12728.515625
42,2014-11-07,Los Angeles,California,90222,33.91,-118.23,0,4,06,037,12463.43,Urban,32362.0,31875.0,32195.0,32585.0,2.56,12641.40625,12451.171875,12576.171875,12728.515625
43,2014-11-05,San Francisco,California,94110,37.74,-122.41,0,4,06,075,29820.65,Urban,71422.0,72528.0,73511.0,73737.0,2.33,30653.21888412017,31127.896995708154,31549.78540772532,31646.78111587983
44,2014-10-29,Shelby,Tennessee,38128,35.1,-90.0,0,5,47,157,1898.32,Suburban,43440.0,44086.0,44901.0,45305.0,23.63,1838.3410918324164,1865.6792213288193,1900.169276343631,1917.2661870503598
45,2014-10-26,Trigg,Kentucky,42211,36.86,-87.82,4,0,21,221,47.82,Rural,13098.0,13001.0,13062.0,13090.0,280.69,46.66357903737219,46.318002066336526,46.53532366667854,46.635077843884716
46,2014-10-24,Snohomish,Washington,98271,48.09,-122.24,5,1,53,061,583.49,Rural,27806.0,28658.0,28509.0,27815.0,46.6,596.695278969957,614.9785407725321,611.7811158798283,596.8884120171674
47,2014-10-18,Queens,New York,11101,40.74,-73.93,0,4,36,081,9752.77,Urban,25317.0,25880.0,26505.0,28852.0,2.62,9662.977099236641,9877.862595419847,10116.412213740457,11012.213740458015
48,2014-10-18,Aiken,South Carolina,29829,33.56,-81.81,1,3,45,003,263.44,Rural,10237.0,10585.0,11790.0,12303.0,32.84,311.7235079171741,322.320341047503,359.01339829476245,374.6345919610231
49,2014-10-18,None,New York,NaN,40.6781784,-73.9441579,0,4,,,,,NaN,NaN,NaN,NaN,,,,,
50,2014-10-16,Wayne,Michigan,48224,42.38,-83.1,1,3,26,163,7748.74,Urban,44420.0,41935.0,42361.0,42724.0,5.73,7752.1815008726,7318.49912739965,7392.84467713787,7456.195462478185
51,2014-10-14,Gwinnett,Georgia,30092,33.94,-84.2,3,2,13,135,2890.33,Suburban,33080.0,33357.0,34427.0,35572.0,10.97,3015.4968094804008,3040.7474931631723,3138.286235186873,3242.661804922516
52,2014-10-13,Fulton,Georgia,30354,33.76,-84.42,0,4,13,121,1382.05,Suburban,16580.0,16688.0,16819.0,16886.0,10.75,1542.3255813953488,1552.3720930232557,1564.5581395348838,1570.7906976744187
53,2014-10-12,San Joaquin,California,95210,38.02,-121.3,3,1,06,077,5891.71,Urban,40820.0,40686.0,40718.0,41724.0,6.62,6166.163141993958,6145.921450151057,6150.755287009063,6302.719033232628
54,2014-10-12,Fulton,Georgia,30315,33.7,-84.38,1,3,13,121,2992.49,Suburban,34159.0,33461.0,33710.0,34973.0,11.31,3020.2475685234303,2958.5322723253757,2980.548187444739,3092.2192749778956
55,2014-10-11,Oneida,New York,13501,43.1,-75.23,0,5,36,065,4405.76,Urban,38464.0,38455.0,38376.0,38415.0,8.75,4395.885714285714,4394.857142857143,4385.828571428571,4390.285714285715
56,2014-10-08,None,Georgia,NaN,33.7489954,-84.3879824,0,4,,,,,NaN,NaN,NaN,NaN,,,,,
57,2014-10-08,Albany,New York,12203,42.66,-73.79,4,0,36,001,2625.53,Suburban,30926.0,30518.0,30625.0,31125.0,11.41,2710.429447852761,2674.6713409290096,2684.0490797546013,2727.8702892199826
58,2014-10-05,Duval,Florida,32208,30.33,-81.65,3,1,12,031,2656.94,Suburban,30170.0,31399.0,30640.0,32470.0,11.62,2596.385542168675,2702.1514629948365,2636.833046471601,2794.3201376936318
59,2014-10-05,Wayne,Michigan,48234,42.38,-83.1,1,5,26,163,4613.81,Urban,34862.0,34368.0,34083.0,34547.0,7.83,4452.362707535121,4389.272030651341,4352.873563218391,4412.13282247765
60,2014-10-04,Shelby,Tennessee,38108,35.1,-90.0,2,2,47,157,2674.04,Suburban,18685.0,19378.0,18918.0,17645.0,7.0,2669.285714285714,2768.285714285714,2702.5714285714284,2520.714285714286
61,2014-10-04,Los Angeles,California,91768,34.06,-117.79,0,4,06,037,3993.18,Urban,36454.0,36444.0,36365.0,36122.0,8.65,4214.335260115607,4213.179190751445,4204.046242774566,4175.953757225433
62,2014-09-29,Colleton,South Carolina,29488,32.9,-80.67,1,7,45,029,96.57,Rural,22301.0,22231.0,21970.0,21306.0,230.09,96.92294319614064,96.61871441609804,95.48437567908209,92.59854839410666
63,2014-09-29,Fresno,California,93705,36.78,-119.82,0,4,06,019,7527.28,Urban,38130.0,38379.0,38093.0,38315.0,4.88,7813.524590163935,7864.549180327869,7805.94262295082,7851.434426229508
64,2014-09-28,Philadelphia,Pennsylvania,19133,39.95,-75.16,0,4,42,101,20033.05,Urban,26247.0,26914.0,26811.0,27397.0,1.3,20190.0,20703.076923076922,20623.846153846152,21074.615384615383
65,2014-09-28,Miami-Dade,Florida,33150,25.77,-80.2,0,15,12,086,7950.54,Urban,28759.0,27988.0,27588.0,28836.0,3.5,8216.857142857143,7996.571428571428,7882.285714285715,8238.857142857143
66,2014-09-27,St. Louis City,Missouri,63107,38.63,-90.24,0,5,29,189,4961.27,Urban,11725.0,9949.0,10437.0,10238.0,2.4,4885.416666666667,4145.416666666667,4348.75,4265.833333333334
67,2014-09-26,Florence,South Carolina,29501,34.18,-79.78,1,4,45,041,804.9,Rural,44683.0,44511.0,44198.0,45026.0,53.7,832.0856610800745,828.8826815642458,823.0540037243948,838.4729981378025
68,2014-09-21,Columbiana,Ohio,43920,40.63,-80.56,0,4,39,029,522.33,Rural,23270.0,22974.0,22834.0,22684.0,44.88,518.49376114082,511.8983957219251,508.7789661319073,505.43672014260244
69,2014-09-20,Panola,Mississippi,38606,34.31,-89.93,2,2,28,107,61.0,Rural,16081.0,15267.0,15307.0,15109.0,264.37,60.82762794568219,57.748609902787756,57.89991300071869,57.150962665960584
70,2014-09-19,Queens,New York,11369,40.76,-73.88,0,4,36,081,35854.22,Urban,39862.0,39001.0,37823.0,37325.0,1.07,37254.20560747664,36449.53271028037,35348.59813084112,34883.17757009346
71,2014-09-18,None,Florida,NaN,37.0341181,-95.6426791,8,0,,,,,NaN,NaN,NaN,NaN,,,,,
